algorithm,build,candidates,count,dataset,distcomps,epsilon,indexsize,k-nn,k-nn-median,k-nn-perc-25,k-nn-perc-5,k-nn-perc-75,k-nn-perc-95,k-nn-std,largeepsilon,parameters,qps,qps-median,qps-perc-25,qps-perc-5,qps-perc-75,qps-perc-95,queriessize,rel
hnsw(faiss),338.1129651069641,10.0,10,glove-2m-300-angular-hard,4240.7478,0.39013,2920168.0,0.20666,0.2,0.0,0.0,0.3,0.6,0.20310008468732849,0.9892899999999999,"faiss ({u'efConstruction': 500, u'M': 8})",504.06107271585245,500.4538879394531,459.7127380371094,411.3272399902344,557.753173828125,663.1520263671872,5793.282120093703,1.1157281578922198
hnsw(faiss),1807.3111119270325,10.0,10,glove-2m-300-angular-hard,40587.5404,0.95143,4419964.0,0.70624,0.7,0.6,0.3,0.9,1.0,0.19532296946339925,1.0,"faiss ({u'efConstruction': 500, u'M': 96})",59.67417756547287,64.58638000488281,42.727407455444336,33.00437927246094,103.21138000488281,160.30821228027344,74068.2851498127,1.0089494058995412
hnsw(faiss),888.3418419361115,10.0,10,glove-2m-300-angular-hard,10727.2826,0.76011,3201520.0,0.47314999999999996,0.5,0.3,0.1,0.6,0.9,0.23240928875584985,0.9999399999999999,"faiss ({u'efConstruction': 500, u'M': 24})",224.4634340271597,227.48150634765625,185.73660278320312,159.133145904541,275.723388671875,382.2403289794921,14262.991270162165,1.0408417593508106
hnsw(faiss),1807.3111119270325,10.0,10,glove-2m-300-angular-hard,13189.4258,0.80881,4419964.0,0.52455,0.5,0.4,0.1,0.7,0.9,0.2312580755346719,0.99999,"faiss ({u'efConstruction': 500, u'M': 96})",203.3508929468472,216.80471801757812,148.33966445922852,115.87435150146484,329.611328125,536.4246215820312,21735.650805110112,1.0276421709987842
hnsw(faiss),1807.3111119270325,10.0,10,glove-2m-300-angular-hard,3520.0162,0.47558999999999996,4419964.0,0.28839000000000004,0.3,0.1,0.0,0.5,0.7,0.22869238706174722,0.9985200000000001,"faiss ({u'efConstruction': 500, u'M': 96})",765.7026250429095,803.1987915039062,590.2482299804688,480.9981689453125,1085.763427734375,1623.214038085937,5772.428950145375,1.0767876085066592
hnsw(faiss),1550.6024081707,10.0,10,glove-2m-300-angular-hard,33508.2175,0.93387,3870880.0,0.6727000000000001,0.7,0.5,0.3,0.8,1.0,0.20475524413308688,1.0,"faiss ({u'efConstruction': 500, u'M': 64})",70.50202049331239,75.8758659362793,51.73299026489258,40.39424362182617,112.90793800354004,165.59295654296875,54904.525755643845,1.0116195957939336
hnsw(faiss),1170.5953590869904,10.0,10,glove-2m-300-angular-hard,13881.7727,0.80759,3399676.0,0.5196,0.5,0.4,0.1,0.7,0.9,0.2302299719845355,0.9999,"faiss ({u'efConstruction': 500, u'M': 36})",180.632685032994,189.7875213623047,142.06782913208008,116.19472198486328,241.21484375,356.64790649414033,18820.93486778997,1.029043368935862
hnsw(faiss),513.3605539798737,10.0,10,glove-2m-300-angular-hard,3467.9959,0.42209,2998232.0,0.22948,0.2,0.1,0.0,0.4,0.6,0.21070104318678634,0.9953799999999999,"faiss ({u'efConstruction': 500, u'M': 12})",724.0870000105368,723.0311889648438,666.6090087890625,585.1428833007812,799.371826171875,937.3060943603512,4140.7068487023935,1.1080307594517338
hnsw(faiss),1550.6024081707,10.0,10,glove-2m-300-angular-hard,2822.5168,0.40216,3870880.0,0.23923,0.2,0.0,0.0,0.4,0.6,0.22092986918929727,0.99476,"faiss ({u'efConstruction': 500, u'M': 64})",944.747115667293,998.8816528320312,761.0785522460938,637.3353881835938,1227.3918151855469,1620.673828125,4097.265750598162,1.0924535584996864
hnsw(faiss),1363.2947809696198,10.0,10,glove-2m-300-angular-hard,9496.0803,0.75379,3613692.0,0.47213000000000005,0.5,0.3,0.1,0.6,0.9,0.2310979513106942,0.9998100000000001,"faiss ({u'efConstruction': 500, u'M': 48})",287.60551392516817,294.8129577636719,226.35208129882812,186.3207633972168,387.1427001953125,586.4724182128903,12564.752151936293,1.0375531562714293
hnsw(faiss),888.3418419361115,10.0,10,glove-2m-300-angular-hard,2797.3626,0.41047,3201520.0,0.23284,0.2,0.0,0.0,0.4,0.6,0.21128070049107656,0.99659,"faiss ({u'efConstruction': 500, u'M': 24})",929.5751724705136,931.8604736328125,843.7545776367188,723.0311889648438,1037.1671142578125,1281.8778076171875,3444.0678869374096,1.1010182172270233
hnsw(faiss),147.56943702697754,10.0,10,glove-2m-300-angular-hard,2009.9182,0.16689,2843044.0,0.07935,0.0,0.0,0.0,0.1,0.3,0.12667508634297434,0.9200200000000001,"faiss ({u'efConstruction': 500, u'M': 4})",896.6861080969076,895.2623291015625,809.711181640625,720.4232177734375,1025.502197265625,1162.8233642578125,3170.6122960173525,1.163837638550159
hnsw(faiss),338.1129651069641,10.0,10,glove-2m-300-angular-hard,2369.7578,0.26836000000000004,2920168.0,0.13772,0.1,0.0,0.0,0.2,0.5,0.17280972657810673,0.9680099999999999,"faiss ({u'efConstruction': 500, u'M': 8})",1021.8123010484184,1024.1251525878906,935.3933715820312,827.7686767578125,1132.3714599609375,1319.37841796875,2857.8321057632565,1.138839636533996
hnsw(faiss),1550.6024081707,10.0,10,glove-2m-300-angular-hard,924.81,0.14914,3870880.0,0.09085,0.0,0.0,0.0,0.1,0.4,0.1538417287344367,0.9469200000000001,"faiss ({u'efConstruction': 500, u'M': 64})",2489.4459200344177,2571.614990234375,2126.928955078125,1801.677001953125,3030.56640625,3688.921630859375,1554.9162843218073,1.1510649786241265
hnsw(faiss),147.56943702697754,10.0,10,glove-2m-300-angular-hard,121.3156,0.01128,2843044.0,0.00555,0.0,0.0,0.0,0.0,0.0,0.028673986468574615,0.5019199999999999,"faiss ({u'efConstruction': 500, u'M': 4})",7281.999235129937,7410.43115234375,7037.4228515625,6668.2099609375,7695.970703125,7943.7578125,390.4208045346313,1.2450630229079342
hnsw(faiss),1363.2947809696198,10.0,10,glove-2m-300-angular-hard,29302.6337,0.92663,3613692.0,0.6584800000000001,0.7,0.5,0.3,0.8,1.0,0.20620884947062773,1.0,"faiss ({u'efConstruction': 500, u'M': 48})",81.63284138353951,86.51617050170898,61.58652400970459,49.13767948150635,122.32839012145996,177.84457473754873,44267.62487687543,1.0129946489556645
hnsw(faiss),888.3418419361115,10.0,10,glove-2m-300-angular-hard,14941.227,0.82171,3201520.0,0.52756,0.5,0.4,0.1,0.7,0.9,0.22700318588072724,1.0,"faiss ({u'efConstruction': 500, u'M': 24})",151.96331001041426,155.52316284179688,123.39727020263672,105.2972183227539,193.0279426574707,264.4821792602538,21067.716936282814,1.0309686440526205
hnsw(faiss),1363.2947809696198,10.0,10,glove-2m-300-angular-hard,2525.8204,0.3907,3613692.0,0.2311,0.2,0.0,0.0,0.4,0.6,0.21196884204995792,0.9961499999999999,"faiss ({u'efConstruction': 500, u'M': 48})",1058.8516564035958,1059.4351806640625,900.2101287841797,772.2823211669922,1283.839599609375,1715.567163085936,3412.8406733328015,1.0962309337008627
hnsw(faiss),1170.5953590869904,10.0,10,glove-2m-300-angular-hard,19347.5552,0.86204,3399676.0,0.57414,0.6,0.4,0.2,0.7,0.9,0.22374820759058606,1.0,"faiss ({u'efConstruction': 500, u'M': 36})",123.2504415240356,129.83853149414062,95.55529403686523,77.99141311645508,171.0146026611328,247.64222564697266,27583.479279763997,1.0215809248904857
hnsw(faiss),1363.2947809696198,10.0,10,glove-2m-300-angular-hard,16655.2291,0.85619,3613692.0,0.56753,0.6,0.4,0.2,0.7,0.9,0.22223118390540963,1.0,"faiss ({u'efConstruction': 500, u'M': 48})",157.13553300851825,163.9072265625,120.73761749267578,96.65586547851564,225.28219604492188,340.6181747436523,22997.293678980317,1.0227513942225643
hnsw(faiss),663.2056150436401,10.0,10,glove-2m-300-angular-hard,634.7605,0.1083,3046772.0,0.05752,0.0,0.0,0.0,0.1,0.3,0.10927693992787317,0.93873,"faiss ({u'efConstruction': 500, u'M': 16})",3278.5865985702735,3344.739990234375,3104.592041015625,2824.447021484375,3572.660888671875,3968.12109375,929.2943493786734,1.168470340034639
hnsw(faiss),513.3605539798737,10.0,10,glove-2m-300-angular-hard,11066.2061,0.70889,2998232.0,0.42259,0.4,0.2,0.1,0.6,0.8,0.23564102338090454,0.9999499999999999,"faiss ({u'efConstruction': 500, u'M': 12})",173.7670836595958,173.92925262451172,152.55897521972656,136.48446655273438,198.84814453125,246.05796813964844,17254.315010968596,1.0602781129272516
hnsw(faiss),663.2056150436401,10.0,10,glove-2m-300-angular-hard,377.4201,0.05632,3046772.0,0.030359999999999998,0.0,0.0,0.0,0.0,0.2,0.07884332818951771,0.82818,"faiss ({u'efConstruction': 500, u'M': 16})",4656.145049508506,4691.615234375,4405.78173828125,4116.09814453125,4975.44970703125,5405.03076171875,654.3550442702834,1.192439046786575
hnsw(faiss),1807.3111119270325,10.0,10,glove-2m-300-angular-hard,1171.6642,0.20012,4419964.0,0.12331,0.0,0.0,0.0,0.2,0.5,0.17839743243668055,0.9714700000000001,"faiss ({u'efConstruction': 500, u'M': 96})",2093.294532438758,2174.341064453125,1730.323486328125,1414.6051025390625,2702.515380859375,3472.10595703125,2111.4869080800563,1.1355493175078832
hnsw(faiss),888.3418419361115,10.0,10,glove-2m-300-angular-hard,6052.2186,0.62572,3201520.0,0.37163,0.4,0.2,0.0,0.5,0.8,0.23453814849614546,0.99908,"faiss ({u'efConstruction': 500, u'M': 24})",420.9985785921132,421.6016540527344,361.6714782714844,312.8910217285156,494.5530090332031,664.918212890625,7604.586245175451,1.0637859408450687
hnsw(faiss),1550.6024081707,10.0,10,glove-2m-300-angular-hard,5032.7839,0.56642,3870880.0,0.34095,0.3,0.1,0.0,0.5,0.7,0.23903158264129032,0.9984500000000001,"faiss ({u'efConstruction': 500, u'M': 64})",540.1569568469786,577.8472595214844,421.91973876953125,347.5788970947266,729.4441528320312,1031.0482177734375,7166.213358789682,1.064763624877045
hnsw(faiss),513.3605539798737,10.0,10,glove-2m-300-angular-hard,880.7784,0.15916999999999998,2998232.0,0.08202000000000001,0.0,0.0,0.0,0.1,0.4,0.129555855135922,0.9651500000000001,"faiss ({u'efConstruction': 500, u'M': 12})",2638.5896652352185,2646.24853515625,2451.375732421875,2201.734375,2888.63916015625,3355.443115234375,1136.300971501274,1.15747246091716
hnsw(faiss),888.3418419361115,10.0,10,glove-2m-300-angular-hard,1554.3989,0.26591,3201520.0,0.14858,0.1,0.0,0.0,0.2,0.5,0.17594312603793305,0.99088,"faiss ({u'efConstruction': 500, u'M': 24})",1567.9924472934217,1602.714599609375,1455.3448486328125,1245.3397216796875,1754.2049560546875,2041.0238037109375,2041.7955491598698,1.1276072002488173
hnsw(faiss),513.3605539798737,10.0,10,glove-2m-300-angular-hard,6215.6641,0.56877,2998232.0,0.32345999999999997,0.3,0.1,0.0,0.5,0.8,0.2315245740736823,0.9987,"faiss ({u'efConstruction': 500, u'M': 12})",369.1980807055098,368.050537109375,331.53932189941406,294.46112060546875,412.9064636230469,507.67129821777326,8120.930624207482,1.0821354439898412
hnsw(faiss),147.56943702697754,10.0,10,glove-2m-300-angular-hard,186.9527,0.02253,2843044.0,0.010870000000000001,0.0,0.0,0.0,0.0,0.1,0.04145893269248498,0.6543599999999999,"faiss ({u'efConstruction': 500, u'M': 4})",6228.183336564364,6574.14404296875,6096.3720703125,5652.70068359375,6944.2119140625,7256.58154296875,456.4804608928389,1.2233669077303677
hnsw(faiss),888.3418419361115,10.0,10,glove-2m-300-angular-hard,3941.9065,0.50631,3201520.0,0.29303,0.3,0.1,0.0,0.4,0.7,0.2251231198699947,0.9980100000000001,"faiss ({u'efConstruction': 500, u'M': 24})",657.3062628219697,657.0025024414062,584.796142578125,501.4590835571289,748.9828491210938,969.78125,4870.667116809636,1.083575840921265
hnsw(faiss),1807.3111119270325,10.0,10,glove-2m-300-angular-hard,8710.3723,0.7225900000000001,4419964.0,0.45252,0.5,0.3,0.0,0.6,0.8,0.23588058334674344,0.99969,"faiss ({u'efConstruction': 500, u'M': 96})",311.5570102892214,331.12054443359375,229.35987854003906,183.00713577270508,482.3811340332031,780.8005126953121,14186.694101015106,1.039516933870614
hnsw(faiss),338.1129651069641,10.0,10,glove-2m-300-angular-hard,1537.5581,0.195,2920168.0,0.09884,0.0,0.0,0.0,0.2,0.4,0.14643993444412623,0.9460000000000001,"faiss ({u'efConstruction': 500, u'M': 8})",1616.953822534296,1631.39013671875,1481.562744140625,1306.9829040527345,1801.677001953125,2057.090258789062,1805.9687044266611,1.153771334022572
hnsw(faiss),1550.6024081707,10.0,10,glove-2m-300-angular-hard,10741.7035,0.76045,3870880.0,0.48179,0.5,0.3,0.0,0.7,0.9,0.2376202767021367,0.9996700000000001,"faiss ({u'efConstruction': 500, u'M': 64})",247.4423539039096,264.3413391113281,188.31549835205078,149.03410720825195,357.1444091796875,544.361328125,15643.562789186835,1.0351180753793556
hnsw(faiss),1550.6024081707,10.0,10,glove-2m-300-angular-hard,18938.6266,0.86274,3870880.0,0.57755,0.6,0.4,0.2,0.7,0.9,0.2257897196508291,0.9999100000000001,"faiss ({u'efConstruction': 500, u'M': 64})",134.95830325421355,144.1341552734375,100.67456817626953,77.9173053741455,208.51622772216797,315.26402893066376,28682.04405851662,1.0206576510172856
hnsw(faiss),663.2056150436401,10.0,10,glove-2m-300-angular-hard,13995.0142,0.7842399999999999,3046772.0,0.48913,0.5,0.3,0.1,0.7,0.9,0.23294386255061542,1.0,"faiss ({u'efConstruction': 500, u'M': 16})",146.19145705760886,147.08082580566406,124.23886108398438,109.27789306640625,174.0736312866211,221.38729476928705,20840.971567848697,1.0420870660719614
hnsw(faiss),147.56943702697754,10.0,10,glove-2m-300-angular-hard,1136.1079,0.11252,2843044.0,0.05302,0.0,0.0,0.0,0.1,0.3,0.10315463925582795,0.8785999999999999,"faiss ({u'efConstruction': 500, u'M': 4})",1904.63759326476,1933.7501220703125,1708.6485900878906,1489.983642578125,2207.5283203125,2457.1201171875,1492.695518587716,1.1775915361573421
hnsw(faiss),1807.3111119270325,10.0,10,glove-2m-300-angular-hard,6243.6266,0.63686,4419964.0,0.39226,0.4,0.2,0.0,0.6,0.8,0.2380506089049133,0.9996,"faiss ({u'efConstruction': 500, u'M': 96})",435.76888184708974,459.7505187988281,323.5908660888672,262.2554504394531,654.8739624023438,1038.194091796875,10142.908739295788,1.0517632164032924
hnsw(faiss),513.3605539798737,10.0,10,glove-2m-300-angular-hard,1584.7486,0.25173,2998232.0,0.13130999999999998,0.1,0.0,0.0,0.2,0.5,0.16513232239631342,0.9832599999999999,"faiss ({u'efConstruction': 500, u'M': 12})",1595.1936934586347,1613.19384765625,1476.8675537109375,1303.7935791015625,1763.7947998046875,2033.2570556640605,1879.5410314714536,1.1381978879544705
hnsw(faiss),338.1129651069641,10.0,10,glove-2m-300-angular-hard,1090.1526,0.14934,2920168.0,0.07469,0.0,0.0,0.0,0.1,0.3,0.1254527955049229,0.9276500000000001,"faiss ({u'efConstruction': 500, u'M': 8})",2190.1171529101593,2257.429443359375,2029.1746826171875,1782.53466796875,2475.976318359375,2801.806396484375,1333.3387194012757,1.1642575345868271
hnsw(faiss),888.3418419361115,10.0,10,glove-2m-300-angular-hard,511.9651,0.07984,3201520.0,0.04553,0.0,0.0,0.0,0.0,0.3,0.10037937586974725,0.8852399999999999,"faiss ({u'efConstruction': 500, u'M': 24})",3708.5328278350175,3744.914306640625,3449.26318359375,3165.512451171875,4048.555908203125,4524.599609375,863.2847944530658,1.18027561065245
hnsw(faiss),663.2056150436401,10.0,10,glove-2m-300-angular-hard,7878.8261,0.65795,3046772.0,0.38932,0.4,0.2,0.0,0.6,0.8,0.23510409949637207,0.9999,"faiss ({u'efConstruction': 500, u'M': 16})",301.55899788689436,303.25384521484375,263.9255065917969,231.0529327392578,345.4376525878906,445.8326019287108,10103.402721688151,1.0615587584048554
hnsw(faiss),888.3418419361115,10.0,10,glove-2m-300-angular-hard,874.7821,0.15448,3201520.0,0.08619,0.0,0.0,0.0,0.1,0.4,0.13644150358303736,0.97115,"faiss ({u'efConstruction': 500, u'M': 24})",2537.2190470395576,2565.323486328125,2336.65966796875,2078.446044921875,2795.7388916015625,3163.125244140625,1261.8224680819549,1.1535381472198565
